Name;Size;Color;Class;Weight;StandardCost;isDiscounted;OrderYear;AveliablePeriod;PercentProfit
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Mountain Bikes;44;Silver;"H ";21.13;1912,1544;0;2011;0;0,778
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Mountain Bikes;48;Silver;"H ";21.42;1912,1544;0;2011;0;0,778
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;58;Black;"L ";19.79;486,7066;0;2011;0;0,4363
Mountain Bikes;44;Black;"H ";21.13;1898,0944;0;2011;0;0,778
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Mountain Bikes;44;Silver;"H ";21.13;1912,1544;0;2011;0;0,778
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Mountain Bikes;44;Black;"H ";21.13;1898,0944;0;2011;0;0,778
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;52;Red;"L ";19.42;486,7066;0;2011;0;0,4363
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Mountain Bikes;48;Silver;"H ";21.42;1912,1544;0;2011;0;0,778
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Mountain Bikes;42;Silver;"H ";20.77;1912,1544;0;2011;0;0,778
Road Bikes;44;Red;"L ";18.77;486,7066;0;2011;0;0,4363
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Mountain Bikes;38;Silver;"H ";20.35;1912,1544;0;2011;0;0,778
Mountain Bikes;48;Black;"H ";21.42;1898,0944;0;2011;0;0,778
Mountain Bikes;48;Black;"H ";21.42;1898,0944;0;2011;0;0,778
Mountain Bikes;38;Silver;"H ";20.35;1912,1544;0;2011;0;0,778
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Mountain Bikes;38;Silver;"H ";20.35;1912,1544;0;2011;0;0,778
Mountain Bikes;48;Silver;"H ";21.42;1912,1544;0;2011;0;0,778
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;52;Black;"L ";19.42;486,7066;0;2011;0;0,4363
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"L ";19.13;486,7066;0;2011;0;0,4363
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Mountain Bikes;42;Silver;"H ";20.77;1912,1544;0;2011;0;0,778
Mountain Bikes;44;Silver;"H ";21.13;1912,1544;0;2011;0;0,778
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Mountain Bikes;44;Black;"H ";21.13;1898,0944;0;2011;0;0,778
Mountain Bikes;44;Black;"H ";21.13;1898,0944;0;2011;0;0,778
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Mountain Bikes;44;Silver;"H ";21.13;1912,1544;0;2011;0;0,778
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Road Bikes;52;Black;"L ";19.42;486,7066;0;2011;0;0,4363
Road Bikes;44;Black;"L ";18.77;486,7066;0;2011;0;0,4363
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Mountain Bikes;38;Black;"H ";20.35;1898,0944;0;2011;0;0,778
Road Bikes;44;Black;"L ";18.77;486,7066;0;2011;0;0,4363
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Mountain Bikes;42;Black;"H ";20.77;1898,0944;0;2011;0;0,778
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Road Bikes;62;Red;"H ";15.00;2171,2942;0;2011;0;0,6479
Mountain Bikes;38;Black;"H ";20.35;1898,0944;0;2011;0;0,778
Mountain Bikes;38;Black;"H ";20.35;1898,0944;0;2011;0;0,778
Road Bikes;62;Red;"L ";20.00;486,7066;0;2011;0;0,4363
Mountain Bikes;44;Black;"H ";21.13;1898,0944;0;2011;0;0,778
Road Bikes;52;Red;"H ";14.42;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"H ";13.77;2171,2942;0;2011;0;0,6479
Road Bikes;44;Red;"L ";18.77;486,7066;0;2011;0;0,4363
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;0,6479
Road Bikes;48;Red;"H ";14.13;2171,2942;0;2011;0;0,6479
Mountain Bikes;48;Silver;"H ";21.42;1912,1544;0;2011;0;0,0668
Mountain Bikes;48;Black;"H ";21.42;1898,0944;0;2011;0;0,0668
Mountain Bikes;44;Black;"H ";21.13;1898,0944;0;2011;0;0,0668
Mountain Bikes;38;Silver;"H ";20.35;1912,1544;0;2011;0;0,0668
Mountain Bikes;42;Black;"H ";20.77;1898,0944;0;2011;0;0,0668
Mountain Bikes;38;Black;"H ";20.35;1898,0944;0;2011;0;0,0668
Mountain Bikes;42;Black;"H ";20.77;1898,0944;0;2011;0;0,0668
Mountain Bikes;44;Black;"H ";21.13;1898,0944;0;2011;0;0,0668
Mountain Bikes;48;Black;"H ";21.42;1898,0944;0;2011;0;0,0668
Road Bikes;52;Black;"L ";19.42;486,7066;0;2011;0;-0,1381
Road Bikes;48;Red;"L ";19.13;486,7066;0;2011;0;-0,1381
Road Bikes;62;Red;"L ";20.00;486,7066;0;2011;0;-0,1381
Road Bikes;58;Red;"M ";17.79;884,7083;0;2011;0;-0,0112
Road Bikes;58;Black;"L ";19.79;486,7066;0;2011;0;-0,1381
Road Bikes;56;Red;"H ";14.68;2171,2942;0;2011;0;-0,0112
Road Bikes;52;Red;"M ";17.42;884,7083;0;2011;0;-0,0112
